source,target,penalty
47579,62741,92.7723
62741,47579,92.7723
47579,27358,92.7723
27358,47579,92.7723
47579,111452,92.7723
111452,47579,92.7723
62741,27358,92.7723
27358,62741,92.7723
62741,111452,92.7723
111452,62741,92.7723
27358,111452,92.7723
111452,27358,92.7723
27123,64987,103.1782
64987,27123,103.1782
27123,65522,103.1782
65522,27123,103.1782
64987,65522,103.1782
65522,64987,103.1782
108217,26225,126.6870
26225,108217,126.6870
108217,70,126.6870
70,108217,126.6870
108217,52110,126.6870
52110,108217,126.6870
26225,70,126.6870
70,26225,126.6870
26225,52110,126.6870
52110,26225,126.6870
70,52110,126.6870
52110,70,126.6870
115181,118402,25.3815
118402,115181,25.3815
115181,93552,25.3815
93552,115181,25.3815
118402,93552,25.3815
93552,118402,25.3815
108829,108317,44.2879
108317,108829,44.2879
108829,89981,44.2879
89981,108829,44.2879
108317,89981,44.2879
89981,108317,44.2879
77294,24276,63.3041
24276,77294,63.3041
77294,68844,63.3041
68844,77294,63.3041
77294,7353,63.3041
7353,77294,63.3041
77294,107762,63.3041
107762,77294,63.3041
24276,68844,63.3041
68844,24276,63.3041
24276,7353,63.3041
7353,24276,63.3041
24276,107762,63.3041
107762,24276,63.3041
68844,7353,63.3041
7353,68844,63.3041
68844,107762,63.3041
107762,68844,63.3041
7353,107762,63.3041
107762,7353,63.3041
112403,17850,53.0382
17850,112403,53.0382
112403,24623,53.0382
24623,112403,53.0382
112403,15989,53.0382
15989,112403,53.0382
112403,107983,53.0382
107983,112403,53.0382
17850,24623,53.0382
24623,17850,53.0382
17850,15989,53.0382
15989,17850,53.0382
17850,107983,53.0382
107983,17850,53.0382
24623,15989,53.0382
15989,24623,53.0382
24623,107983,53.0382
107983,24623,53.0382
15989,107983,53.0382
107983,15989,53.0382
100015,83047,36.0901
83047,100015,36.0901
100015,29187,36.0901
29187,100015,36.0901
83047,29187,36.0901
29187,83047,36.0901
115211,110950,148.7981
110950,115211,148.7981
115211,113966,148.7981
113966,115211,148.7981
115211,72441,148.7981
72441,115211,148.7981
110950,113966,148.7981
113966,110950,148.7981
110950,72441,148.7981
72441,110950,148.7981
113966,72441,148.7981
72441,113966,148.7981
76312,5566,56.9023
5566,76312,56.9023
76312,82701,56.9023
82701,76312,56.9023
76312,4389,56.9023
4389,76312,56.9023
76312,94141,56.9023
94141,76312,56.9023
5566,82701,56.9023
82701,5566,56.9023
5566,4389,56.9023
4389,5566,56.9023
5566,94141,56.9023
94141,5566,56.9023
82701,4389,56.9023
4389,82701,56.9023
82701,94141,56.9023
94141,82701,56.9023
4389,94141,56.9023
94141,4389,56.9023
27526,35001,94.5280
35001,27526,94.5280
27526,77331,94.5280
77331,27526,94.5280
27526,90019,94.5280
90019,27526,94.5280
27526,75240,94.5280
75240,27526,94.5280
35001,77331,94.5280
77331,35001,94.5280
35001,90019,94.5280
90019,35001,94.5280
35001,75240,94.5280
75240,35001,94.5280
77331,90019,94.5280
90019,77331,94.5280
77331,75240,94.5280
75240,77331,94.5280
90019,75240,94.5280
75240,90019,94.5280
93841,6921,212.9195
6921,93841,212.9195
93841,8476,212.9195
8476,93841,212.9195
6921,8476,212.9195
8476,6921,212.9195
29164,71711,261.5973
71711,29164,261.5973
29164,18507,261.5973
18507,29164,261.5973
71711,18507,261.5973
18507,71711,261.5973
76009,48729,80.4746
48729,76009,80.4746
76009,70357,80.4746
70357,76009,80.4746
76009,110143,80.4746
110143,76009,80.4746
76009,51550,80.4746
51550,76009,80.4746
48729,70357,80.4746
70357,48729,80.4746
48729,110143,80.4746
110143,48729,80.4746
48729,51550,80.4746
51550,48729,80.4746
70357,110143,80.4746
110143,70357,80.4746
70357,51550,80.4746
51550,70357,80.4746
110143,51550,80.4746
51550,110143,80.4746
82842,74335,42.5350
74335,82842,42.5350
82842,100740,42.5350
100740,82842,42.5350
82842,47627,42.5350
47627,82842,42.5350
74335,100740,42.5350
100740,74335,42.5350
74335,47627,42.5350
47627,74335,42.5350
100740,47627,42.5350
47627,100740,42.5350
48810,41035,48.3107
41035,48810,48.3107
48810,8187,48.3107
8187,48810,48.3107
41035,8187,48.3107
8187,41035,48.3107
12732,26188,256.3266
26188,12732,256.3266
12732,31385,256.3266
31385,12732,256.3266
12732,41375,256.3266
41375,12732,256.3266
26188,31385,256.3266
31385,26188,256.3266
26188,41375,256.3266
41375,26188,256.3266
31385,41375,256.3266
41375,31385,256.3266
43620,117008,152.1232
117008,43620,152.1232
43620,99918,152.1232
99918,43620,152.1232
43620,108584,152.1232
108584,43620,152.1232
117008,99918,152.1232
99918,117008,152.1232
117008,108584,152.1232
108584,117008,152.1232
99918,108584,152.1232
108584,99918,152.1232
111420,93112,78.6037
93112,111420,78.6037
111420,64223,78.6037
64223,111420,78.6037
111420,37580,78.6037
37580,111420,78.6037
111420,25229,78.6037
25229,111420,78.6037
93112,64223,78.6037
64223,93112,78.6037
93112,37580,78.6037
37580,93112,78.6037
93112,25229,78.6037
25229,93112,78.6037
64223,37580,78.6037
37580,64223,78.6037
64223,25229,78.6037
25229,64223,78.6037
37580,25229,78.6037
25229,37580,78.6037
95347,14639,137.7670
14639,95347,137.7670
95347,75717,137.7670
75717,95347,137.7670
95347,103649,137.7670
103649,95347,137.7670
95347,71514,137.7670
71514,95347,137.7670
14639,75717,137.7670
75717,14639,137.7670
14639,103649,137.7670
103649,14639,137.7670
14639,71514,137.7670
71514,14639,137.7670
75717,103649,137.7670
103649,75717,137.7670
75717,71514,137.7670
71514,75717,137.7670
103649,71514,137.7670
71514,103649,137.7670
44013,108353,103.6281
108353,44013,103.6281
44013,51380,103.6281
51380,44013,103.6281
108353,51380,103.6281
51380,108353,103.6281
18140,15744,65.3439
15744,18140,65.3439
18140,72277,65.3439
72277,18140,65.3439
18140,116435,65.3439
116435,18140,65.3439
15744,72277,65.3439
72277,15744,65.3439
15744,116435,65.3439
116435,15744,65.3439
72277,116435,65.3439
116435,72277,65.3439
61168,63522,122.2096
63522,61168,122.2096
61168,45893,122.2096
45893,61168,122.2096
61168,50864,122.2096
50864,61168,122.2096
63522,45893,122.2096
45893,63522,122.2096
63522,50864,122.2096
50864,63522,122.2096
45893,50864,122.2096
50864,45893,122.2096
58690,23727,108.8630
23727,58690,108.8630
58690,119931,108.8630
119931,58690,108.8630
58690,54568,108.8630
54568,58690,108.8630
23727,119931,108.8630
119931,23727,108.8630
23727,54568,108.8630
54568,23727,108.8630
119931,54568,108.8630
54568,119931,108.8630
31737,89453,85.9016
89453,31737,85.9016
31737,111837,85.9016
111837,31737,85.9016
31737,70367,85.9016
70367,31737,85.9016
31737,89109,85.9016
89109,31737,85.9016
89453,111837,85.9016
111837,89453,85.9016
89453,70367,85.9016
70367,89453,85.9016
89453,89109,85.9016
89109,89453,85.9016
111837,70367,85.9016
70367,111837,85.9016
111837,89109,85.9016
89109,111837,85.9016
70367,89109,85.9016
89109,70367,85.9016
118252,30899,160.8669
30899,118252,160.8669
118252,12844,160.8669
12844,118252,160.8669
118252,5990,160.8669
5990,118252,160.8669
30899,12844,160.8669
12844,30899,160.8669
30899,5990,160.8669
5990,30899,160.8669
12844,5990,160.8669
5990,12844,160.8669
97607,18908,20.3978
18908,97607,20.3978
97607,108401,20.3978
108401,97607,20.3978
97607,2832,20.3978
2832,97607,20.3978
97607,92135,20.3978
92135,97607,20.3978
18908,108401,20.3978
108401,18908,20.3978
18908,2832,20.3978
2832,18908,20.3978
18908,92135,20.3978
92135,18908,20.3978
108401,2832,20.3978
2832,108401,20.3978
108401,92135,20.3978
92135,108401,20.3978
2832,92135,20.3978
92135,2832,20.3978
79615,40055,37.5399
40055,79615,37.5399
79615,19466,37.5399
19466,79615,37.5399
40055,19466,37.5399
19466,40055,37.5399
48254,111904,219.0846
111904,48254,219.0846
48254,70656,219.0846
70656,48254,219.0846
111904,70656,219.0846
70656,111904,219.0846
70406,61599,166.5386
61599,70406,166.5386
70406,69155,166.5386
69155,70406,166.5386
61599,69155,166.5386
69155,61599,166.5386
99940,97431,101.1500
97431,99940,101.1500
99940,15638,101.1500
15638,99940,101.1500
99940,57428,101.1500
57428,99940,101.1500
99940,59623,101.1500
59623,99940,101.1500
97431,15638,101.1500
15638,97431,101.1500
97431,57428,101.1500
57428,97431,101.1500
97431,59623,101.1500
59623,97431,101.1500
15638,57428,101.1500
57428,15638,101.1500
15638,59623,101.1500
59623,15638,101.1500
57428,59623,101.1500
59623,57428,101.1500
115311,30056,27.1574
30056,115311,27.1574
115311,91236,27.1574
91236,115311,27.1574
30056,91236,27.1574
91236,30056,27.1574
23183,64497,121.2410
64497,23183,121.2410
23183,10277,121.2410
10277,23183,121.2410
64497,10277,121.2410
10277,64497,121.2410
11845,63538,62.8224
63538,11845,62.8224
11845,75663,62.8224
75663,11845,62.8224
11845,102165,62.8224
102165,11845,62.8224
63538,75663,62.8224
75663,63538,62.8224
63538,102165,62.8224
102165,63538,62.8224
75663,102165,62.8224
102165,75663,62.8224
36508,65120,88.7279
65120,36508,88.7279
36508,120079,88.7279
120079,36508,88.7279
65120,120079,88.7279
120079,65120,88.7279
101150,39998,58.5459
39998,101150,58.5459
101150,26544,58.5459
26544,101150,58.5459
101150,113418,58.5459
113418,101150,58.5459
39998,26544,58.5459
26544,39998,58.5459
39998,113418,58.5459
113418,39998,58.5459
26544,113418,58.5459
113418,26544,58.5459
42583,13174,91.5207
13174,42583,91.5207
42583,2796,91.5207
2796,42583,91.5207
13174,2796,91.5207
2796,13174,91.5207
20519,27755,234.9052
27755,20519,234.9052
20519,30718,234.9052
30718,20519,234.9052
20519,11902,234.9052
11902,20519,234.9052
20519,28172,234.9052
28172,20519,234.9052
27755,30718,234.9052
30718,27755,234.9052
27755,11902,234.9052
11902,27755,234.9052
27755,28172,234.9052
28172,27755,234.9052
30718,11902,234.9052
11902,30718,234.9052
30718,28172,234.9052
28172,30718,234.9052
11902,28172,234.9052
28172,11902,234.9052
58089,69044,139.5218
69044,58089,139.5218
58089,23369,139.5218
23369,58089,139.5218
69044,23369,139.5218
23369,69044,139.5218
35127,68455,152.2042
68455,35127,152.2042
35127,79834,152.2042
79834,35127,152.2042
68455,79834,152.2042
79834,68455,152.2042
11458,100924,83.7491
100924,11458,83.7491
11458,90365,83.7491
90365,11458,83.7491
100924,90365,83.7491
90365,100924,83.7491
31556,25693,68.5233
25693,31556,68.5233
31556,63844,68.5233
63844,31556,68.5233
31556,102221,68.5233
102221,31556,68.5233
25693,63844,68.5233
63844,25693,68.5233
25693,102221,68.5233
102221,25693,68.5233
63844,102221,68.5233
102221,63844,68.5233
88443,14685,103.6309
14685,88443,103.6309
88443,118555,103.6309
118555,88443,103.6309
88443,111912,103.6309
111912,88443,103.6309
14685,118555,103.6309
118555,14685,103.6309
14685,111912,103.6309
111912,14685,103.6309
118555,111912,103.6309
111912,118555,103.6309
66005,107411,204.5798
107411,66005,204.5798
66005,61541,204.5798
61541,66005,204.5798
107411,61541,204.5798
61541,107411,204.5798
16474,12958,6.8646
12958,16474,6.8646
16474,102127,6.8646
102127,16474,6.8646
12958,102127,6.8646
102127,12958,6.8646
108547,46166,57.2327
46166,108547,57.2327
108547,103023,57.2327
103023,108547,57.2327
108547,8766,57.2327
8766,108547,57.2327
108547,41443,57.2327
41443,108547,57.2327
46166,103023,57.2327
103023,46166,57.2327
46166,8766,57.2327
8766,46166,57.2327
46166,41443,57.2327
41443,46166,57.2327
103023,8766,57.2327
8766,103023,57.2327
103023,41443,57.2327
41443,103023,57.2327
8766,41443,57.2327
41443,8766,57.2327
41086,76120,91.3277
76120,41086,91.3277
41086,91702,91.3277
91702,41086,91.3277
76120,91702,91.3277
91702,76120,91.3277
108330,110246,22.2040
110246,108330,22.2040
108330,100950,22.2040
100950,108330,22.2040
108330,45912,22.2040
45912,108330,22.2040
108330,47017,22.2040
47017,108330,22.2040
110246,100950,22.2040
100950,110246,22.2040
110246,45912,22.2040
45912,110246,22.2040
110246,47017,22.2040
47017,110246,22.2040
100950,45912,22.2040
45912,100950,22.2040
100950,47017,22.2040
47017,100950,22.2040
45912,47017,22.2040
47017,45912,22.2040
58453,64775,222.9256
64775,58453,222.9256
58453,59849,222.9256
59849,58453,222.9256
58453,12838,222.9256
12838,58453,222.9256
64775,59849,222.9256
59849,64775,222.9256
64775,12838,222.9256
12838,64775,222.9256
59849,12838,222.9256
12838,59849,222.9256
42656,9669,170.9430
9669,42656,170.9430
42656,10978,170.9430
10978,42656,170.9430
42656,5046,170.9430
5046,42656,170.9430
42656,23521,170.9430
23521,42656,170.9430
9669,10978,170.9430
10978,9669,170.9430
9669,5046,170.9430
5046,9669,170.9430
9669,23521,170.9430
23521,9669,170.9430
10978,5046,170.9430
5046,10978,170.9430
10978,23521,170.9430
23521,10978,170.9430
5046,23521,170.9430
23521,5046,170.9430
44291,116061,122.5968
116061,44291,122.5968
44291,21063,122.5968
21063,44291,122.5968
116061,21063,122.5968
21063,116061,122.5968
4206,14651,59.6111
14651,4206,59.6111
4206,37744,59.6111
37744,4206,59.6111
4206,1587,59.6111
1587,4206,59.6111
4206,40434,59.6111
40434,4206,59.6111
14651,37744,59.6111
37744,14651,59.6111
14651,1587,59.6111
1587,14651,59.6111
14651,40434,59.6111
40434,14651,59.6111
37744,1587,59.6111
1587,37744,59.6111
37744,40434,59.6111
40434,37744,59.6111
1587,40434,59.6111
40434,1587,59.6111
107914,69046,123.2373
69046,107914,123.2373
107914,46713,123.2373
46713,107914,123.2373
69046,46713,123.2373
46713,69046,123.2373
117459,63796,177.5231
63796,117459,177.5231
117459,25375,177.5231
25375,117459,177.5231
63796,25375,177.5231
25375,63796,177.5231
68679,75911,121.9643
75911,68679,121.9643
68679,79752,121.9643
79752,68679,121.9643
75911,79752,121.9643
79752,75911,121.9643
14733,99194,19.3237
99194,14733,19.3237
14733,43623,19.3237
43623,14733,19.3237
14733,110449,19.3237
110449,14733,19.3237
14733,101928,19.3237
101928,14733,19.3237
99194,43623,19.3237
43623,99194,19.3237
99194,110449,19.3237
110449,99194,19.3237
99194,101928,19.3237
101928,99194,19.3237
43623,110449,19.3237
110449,43623,19.3237
43623,101928,19.3237
101928,43623,19.3237
110449,101928,19.3237
101928,110449,19.3237
8619,90594,45.7420
90594,8619,45.7420
8619,106588,45.7420
106588,8619,45.7420
8619,99875,45.7420
99875,8619,45.7420
90594,106588,45.7420
106588,90594,45.7420
90594,99875,45.7420
99875,90594,45.7420
106588,99875,45.7420
99875,106588,45.7420
45869,85136,174.5765
85136,45869,174.5765
45869,97519,174.5765
97519,45869,174.5765
45869,32557,174.5765
32557,45869,174.5765
85136,97519,174.5765
97519,85136,174.5765
85136,32557,174.5765
32557,85136,174.5765
97519,32557,174.5765
32557,97519,174.5765
47970,10929,199.2818
10929,47970,199.2818
47970,51598,199.2818
51598,47970,199.2818
47970,107354,199.2818
107354,47970,199.2818
10929,51598,199.2818
51598,10929,199.2818
10929,107354,199.2818
107354,10929,199.2818
51598,107354,199.2818
107354,51598,199.2818
70614,17542,140.6242
17542,70614,140.6242
70614,68738,140.6242
68738,70614,140.6242
70614,89983,140.6242
89983,70614,140.6242
17542,68738,140.6242
68738,17542,140.6242
17542,89983,140.6242
89983,17542,140.6242
68738,89983,140.6242
89983,68738,140.6242
88973,68229,150.3664
68229,88973,150.3664
88973,74904,150.3664
74904,88973,150.3664
88973,57029,150.3664
57029,88973,150.3664
68229,74904,150.3664
74904,68229,150.3664
68229,57029,150.3664
57029,68229,150.3664
74904,57029,150.3664
57029,74904,150.3664
101358,71293,41.6410
71293,101358,41.6410
101358,1261,41.6410
1261,101358,41.6410
101358,43250,41.6410
43250,101358,41.6410
71293,1261,41.6410
1261,71293,41.6410
71293,43250,41.6410
43250,71293,41.6410
1261,43250,41.6410
43250,1261,41.6410
110252,36768,209.6898
36768,110252,209.6898
110252,84709,209.6898
84709,110252,209.6898
110252,39247,209.6898
39247,110252,209.6898
36768,84709,209.6898
84709,36768,209.6898
36768,39247,209.6898
39247,36768,209.6898
84709,39247,209.6898
39247,84709,209.6898
68452,42865,117.1012
42865,68452,117.1012
68452,75481,117.1012
75481,68452,117.1012
42865,75481,117.1012
75481,42865,117.1012
108127,98107,43.5273
98107,108127,43.5273
108127,46523,43.5273
46523,108127,43.5273
108127,18925,43.5273
18925,108127,43.5273
108127,74071,43.5273
74071,108127,43.5273
98107,46523,43.5273
46523,98107,43.5273
98107,18925,43.5273
18925,98107,43.5273
98107,74071,43.5273
74071,98107,43.5273
46523,18925,43.5273
18925,46523,43.5273
46523,74071,43.5273
74071,46523,43.5273
18925,74071,43.5273
74071,18925,43.5273
96498,100083,131.8932
100083,96498,131.8932
96498,35266,131.8932
35266,96498,131.8932
96498,70336,131.8932
70336,96498,131.8932
96498,58091,131.8932
58091,96498,131.8932
100083,35266,131.8932
35266,100083,131.8932
100083,70336,131.8932
70336,100083,131.8932
100083,58091,131.8932
58091,100083,131.8932
35266,70336,131.8932
70336,35266,131.8932
35266,58091,131.8932
58091,35266,131.8932
70336,58091,131.8932
58091,70336,131.8932
6407,41756,84.9279
41756,6407,84.9279
6407,64786,84.9279
64786,6407,84.9279
6407,47656,84.9279
47656,6407,84.9279
41756,64786,84.9279
64786,41756,84.9279
41756,47656,84.9279
47656,41756,84.9279
64786,47656,84.9279
47656,64786,84.9279
48154,27250,127.1443
27250,48154,127.1443
48154,99841,127.1443
99841,48154,127.1443
48154,45649,127.1443
45649,48154,127.1443
48154,82967,127.1443
82967,48154,127.1443
27250,99841,127.1443
99841,27250,127.1443
27250,45649,127.1443
45649,27250,127.1443
27250,82967,127.1443
82967,27250,127.1443
99841,45649,127.1443
45649,99841,127.1443
99841,82967,127.1443
82967,99841,127.1443
45649,82967,127.1443
82967,45649,127.1443
49114,99689,51.7010
99689,49114,51.7010
49114,112529,51.7010
112529,49114,51.7010
49114,107969,51.7010
107969,49114,51.7010
49114,116278,51.7010
116278,49114,51.7010
99689,112529,51.7010
112529,99689,51.7010
99689,107969,51.7010
107969,99689,51.7010
99689,116278,51.7010
116278,99689,51.7010
112529,107969,51.7010
107969,112529,51.7010
112529,116278,51.7010
116278,112529,51.7010
107969,116278,51.7010
116278,107969,51.7010
