source,target,penalty
56715,21193,182.7310
21193,56715,182.7310
56715,80280,182.7310
80280,56715,182.7310
56715,24612,182.7310
24612,56715,182.7310
56715,87030,182.7310
87030,56715,182.7310
21193,80280,182.7310
80280,21193,182.7310
21193,24612,182.7310
24612,21193,182.7310
21193,87030,182.7310
87030,21193,182.7310
80280,24612,182.7310
24612,80280,182.7310
80280,87030,182.7310
87030,80280,182.7310
24612,87030,182.7310
87030,24612,182.7310
46709,6555,183.9851
6555,46709,183.9851
46709,67256,183.9851
67256,46709,183.9851
46709,47945,183.9851
47945,46709,183.9851
6555,67256,183.9851
67256,6555,183.9851
6555,47945,183.9851
47945,6555,183.9851
67256,47945,183.9851
47945,67256,183.9851
22476,78927,112.3006
78927,22476,112.3006
22476,105106,112.3006
105106,22476,112.3006
22476,103822,112.3006
103822,22476,112.3006
22476,65298,112.3006
65298,22476,112.3006
78927,105106,112.3006
105106,78927,112.3006
78927,103822,112.3006
103822,78927,112.3006
78927,65298,112.3006
65298,78927,112.3006
105106,103822,112.3006
103822,105106,112.3006
105106,65298,112.3006
65298,105106,112.3006
103822,65298,112.3006
65298,103822,112.3006
54126,50194,169.2565
50194,54126,169.2565
54126,77612,169.2565
77612,54126,169.2565
54126,10089,169.2565
10089,54126,169.2565
54126,82625,169.2565
82625,54126,169.2565
50194,77612,169.2565
77612,50194,169.2565
50194,10089,169.2565
10089,50194,169.2565
50194,82625,169.2565
82625,50194,169.2565
77612,10089,169.2565
10089,77612,169.2565
77612,82625,169.2565
82625,77612,169.2565
10089,82625,169.2565
82625,10089,169.2565
4968,87234,261.5040
87234,4968,261.5040
4968,61880,261.5040
61880,4968,261.5040
4968,10491,261.5040
10491,4968,261.5040
87234,61880,261.5040
61880,87234,261.5040
87234,10491,261.5040
10491,87234,261.5040
61880,10491,261.5040
10491,61880,261.5040
42182,38573,69.5653
38573,42182,69.5653
42182,84789,69.5653
84789,42182,69.5653
42182,67873,69.5653
67873,42182,69.5653
38573,84789,69.5653
84789,38573,69.5653
38573,67873,69.5653
67873,38573,69.5653
84789,67873,69.5653
67873,84789,69.5653
60268,75305,114.9506
75305,60268,114.9506
60268,71685,114.9506
71685,60268,114.9506
60268,61261,114.9506
61261,60268,114.9506
75305,71685,114.9506
71685,75305,114.9506
75305,61261,114.9506
61261,75305,114.9506
71685,61261,114.9506
61261,71685,114.9506
114554,25605,143.0308
25605,114554,143.0308
114554,24311,143.0308
24311,114554,143.0308
114554,87527,143.0308
87527,114554,143.0308
114554,121410,143.0308
121410,114554,143.0308
25605,24311,143.0308
24311,25605,143.0308
25605,87527,143.0308
87527,25605,143.0308
25605,121410,143.0308
121410,25605,143.0308
24311,87527,143.0308
87527,24311,143.0308
24311,121410,143.0308
121410,24311,143.0308
87527,121410,143.0308
121410,87527,143.0308
119599,118817,148.2100
118817,119599,148.2100
119599,96987,148.2100
96987,119599,148.2100
119599,101765,148.2100
101765,119599,148.2100
118817,96987,148.2100
96987,118817,148.2100
