source,target,penalty
98701,94453,147.8777
94453,98701,147.8777
98701,50474,147.8777
50474,98701,147.8777
98701,64772,147.8777
64772,98701,147.8777
94453,50474,147.8777
50474,94453,147.8777
94453,64772,147.8777
64772,94453,147.8777
50474,64772,147.8777
64772,50474,147.8777
92499,118003,127.0663
118003,92499,127.0663
92499,109916,127.0663
109916,92499,127.0663
92499,12320,127.0663
12320,92499,127.0663
118003,109916,127.0663
109916,118003,127.0663
118003,12320,127.0663
12320,118003,127.0663
109916,12320,127.0663
12320,109916,127.0663
96403,33622,111.5945
33622,96403,111.5945
96403,87303,111.5945
87303,96403,111.5945
96403,97967,111.5945
97967,96403,111.5945
96403,113010,111.5945
113010,96403,111.5945
33622,87303,111.5945
87303,33622,111.5945
33622,97967,111.5945
97967,33622,111.5945
33622,113010,111.5945
113010,33622,111.5945
87303,97967,111.5945
97967,87303,111.5945
87303,113010,111.5945
113010,87303,111.5945
97967,113010,111.5945
113010,97967,111.5945
108599,45061,10.0674
45061,108599,10.0674
108599,119526,10.0674
119526,108599,10.0674
45061,119526,10.0674
119526,45061,10.0674
102192,67037,103.4853
67037,102192,103.4853
102192,64219,103.4853
64219,102192,103.4853
102192,112821,103.4853
112821,102192,103.4853
102192,13684,103.4853
13684,102192,103.4853
67037,64219,103.4853
64219,67037,103.4853
67037,112821,103.4853
112821,67037,103.4853
67037,13684,103.4853
13684,67037,103.4853
64219,112821,103.4853
112821,64219,103.4853
64219,13684,103.4853
13684,64219,103.4853
112821,13684,103.4853
13684,112821,103.4853
85988,117665,163.6237
117665,85988,163.6237
85988,20029,163.6237
20029,85988,163.6237
85988,71700,163.6237
71700,85988,163.6237
85988,11849,163.6237
11849,85988,163.6237
117665,20029,163.6237
20029,117665,163.6237
117665,71700,163.6237
71700,117665,163.6237
117665,11849,163.6237
11849,117665,163.6237
20029,71700,163.6237
71700,20029,163.6237
20029,11849,163.6237
11849,20029,163.6237
71700,11849,163.6237
11849,71700,163.6237
9539,3856,166.6148
3856,9539,166.6148
9539,67272,166.6148
67272,9539,166.6148
9539,92223,166.6148
92223,9539,166.6148
3856,67272,166.6148
67272,3856,166.6148
3856,92223,166.6148
92223,3856,166.6148
67272,92223,166.6148
92223,67272,166.6148
99092,36949,49.4373
36949,99092,49.4373
99092,15022,49.4373
15022,99092,49.4373
99092,99333,49.4373
99333,99092,49.4373
36949,15022,49.4373
15022,36949,49.4373
36949,99333,49.4373
99333,36949,49.4373
15022,99333,49.4373
99333,15022,49.4373
54572,67632,84.4074
67632,54572,84.4074
54572,22788,84.4074
22788,54572,84.4074
54572,21941,84.4074
21941,54572,84.4074
54572,21364,84.4074
21364,54572,84.4074
67632,22788,84.4074
22788,67632,84.4074
67632,21941,84.4074
21941,67632,84.4074
67632,21364,84.4074
21364,67632,84.4074
22788,21941,84.4074
21941,22788,84.4074
22788,21364,84.4074
21364,22788,84.4074
21941,21364,84.4074
21364,21941,84.4074
51363,56703,56.7719
56703,51363,56.7719
51363,115951,56.7719
115951,51363,56.7719
51363,97691,56.7719
97691,51363,56.7719
51363,30539,56.7719
30539,51363,56.7719
56703,115951,56.7719
115951,56703,56.7719
56703,97691,56.7719
97691,56703,56.7719
56703,30539,56.7719
30539,56703,56.7719
115951,97691,56.7719
97691,115951,56.7719
115951,30539,56.7719
30539,115951,56.7719
97691,30539,56.7719
30539,97691,56.7719
44804,100100,190.0839
100100,44804,190.0839
44804,57616,190.0839
57616,44804,190.0839
100100,57616,190.0839
57616,100100,190.0839
47607,85239,219.4082
85239,47607,219.4082
47607,49863,219.4082
49863,47607,219.4082
85239,49863,219.4082
49863,85239,219.4082
7522,72894,421.3197
72894,7522,421.3197
7522,9310,421.3197
9310,7522,421.3197
72894,9310,421.3197
9310,72894,421.3197
6309,120519,157.4235
120519,6309,157.4235
6309,70124,157.4235
70124,6309,157.4235
6309,7719,157.4235
7719,6309,157.4235
120519,70124,157.4235
70124,120519,157.4235
120519,7719,157.4235
7719,120519,157.4235
70124,7719,157.4235
7719,70124,157.4235
35883,115415,151.7005
115415,35883,151.7005
